group_type,group,method,points,gt_speed_mean_mps,vector_rmse_mps,vector_mae_mps,p95_vector_error_mps,relative_error_mae,floor10_relative_error_mae,floor10_relative_error_p95,direction_error_mae_deg
all,all_holdout_points,tp26_thr11_preserve,530,25.292015144549474,14.769035584178605,6.854454224139126,23.889507208286076,0.37155466457377345,0.2828040963230872,0.9199462550763865,12.152933424404829
all,all_holdout_points,tp26_sparse_temporal_cma,530,25.292015144549474,14.852237035605219,7.040594344555038,26.21085192224946,0.38205009004883655,0.29384558698595586,0.9784867202940007,12.544923475888002
speed,0-5mps_calm,tp26_thr11_preserve,34,3.1402882077690273,5.582880693465638,3.8798039700282896,8.143730264971172,1.472030330958268,0.38798039700282894,0.8143730264971172,nan
speed,0-5mps_calm,tp26_sparse_temporal_cma,34,3.1402882077690273,5.52424179949606,3.825020374020123,8.143612033724311,1.4549586425965255,0.3825020374020123,0.8143612033724311,nan
speed,5-15mps_light,tp26_thr11_preserve,129,9.945161365380851,5.195876810373414,4.185283061205855,10.247702686418162,0.45014209600392974,0.3712265656289002,0.9090150648404923,18.066333797289648
speed,5-15mps_light,tp26_sparse_temporal_cma,129,9.945161365380851,6.057278442944428,4.490679519582376,10.802422294637683,0.47584410140957945,0.39611648864436,1.004468315420685,18.813284963641063
speed,15-30mps_moderate,tp26_thr11_preserve,205,22.201006439158615,8.727973015428585,5.749004885423595,19.673108394202035,0.26927524559414656,0.26927524559414656,0.8460960138536531,12.307976020407429
speed,15-30mps_moderate,tp26_sparse_temporal_cma,205,22.201006439158615,8.980201596178466,5.979955429106738,20.023971745826984,0.281585195361524,0.281585195361524,0.9650992138353913,12.752954057515002
speed,30-60mps_strong,tp26_thr11_preserve,137,38.80930740625122,12.312019895402537,7.075874736980937,31.144289224187595,0.1856446902230327,0.1856446902230327,0.8196358502854101,6.548344336667006
speed,30-60mps_strong,tp26_sparse_temporal_cma,137,38.80930740625122,12.273070667505605,7.169873163174268,31.14499072051344,0.18763304179983195,0.18763304179983195,0.8196358502854101,6.605418970767469
speed,60mps_plus_extreme,tp26_thr11_preserve,25,85.87963906916043,54.655256856135075,32.524201937559795,96.096871205102,0.3268745071862543,0.3268745071862543,0.9978419369109354,10.71586073422144
speed,60mps_plus_extreme,tp26_sparse_temporal_cma,25,85.87963906916043,54.396090962871064,32.560126621984146,95.73971019345058,0.32813492080305523,0.32813492080305523,0.9986033780537661,10.607353298142758
altitude,0-3km,tp26_thr11_preserve,39,10.434346196515333,5.6871222326995685,3.631781084510391,8.680025610781748,0.6662467194032694,0.31400334822809295,0.6755429011447555,14.334192577533328
altitude,0-3km,tp26_sparse_temporal_cma,39,10.434346196515333,5.644745269200029,3.592982814575711,8.6813146080981,0.6543111780357197,0.310111639221504,0.6923255253744803,14.410970736014722
altitude,3-6km,tp26_thr11_preserve,47,12.700216556960568,8.440119143357967,6.237625793461802,14.837247558302533,0.6839208955832398,0.47495978076618955,1.3838319762656834,28.366607510582146
altitude,3-6km,tp26_sparse_temporal_cma,47,12.700216556960568,9.681142814573825,6.756902859094903,22.373753590619305,0.7220432828479253,0.5139977082675232,1.4555680591344227,29.47435908552964
altitude,6-9km,tp26_thr11_preserve,85,16.677252512048526,7.638472469671271,5.404176592845527,13.852334426148257,0.5095210244617873,0.33029788370919544,0.8735746785099495,13.58262580576219
altitude,6-9km,tp26_sparse_temporal_cma,85,16.677252512048526,7.688300317991921,5.472897199540851,13.947240279854206,0.5148505574625813,0.33531512172897415,0.8880403302809474,14.48720077119684
altitude,9-12km,tp26_thr11_preserve,137,24.33411866340523,11.451701618793972,6.182682145066414,23.71618549647419,0.32509762347708143,0.269169009445438,0.7624201446770236,10.586002147244871
altitude,9-12km,tp26_sparse_temporal_cma,137,24.33411866340523,11.42071097516152,6.333089686629674,23.716196794875806,0.3365020371138254,0.2802757571780565,0.7940050532875098,11.081820437537665
altitude,12km+,tp26_thr11_preserve,222,34.4575568754925,19.917697780481415,8.521037837563776,35.52349023310765,0.22949732693400032,0.22687142506767138,0.9729679190487827,9.397423419672451
altitude,12km+,tp26_sparse_temporal_cma,222,34.4575568754925,19.951608908326953,8.743174276752342,35.522360614747946,0.23950135594470406,0.2368754540720173,0.9873622211696378,9.453240713288487
